Time,PET
476.0,0.72496
477.0,0.67301
478.0,0.67136
479.0,0.87643
480.0,0.979
481.0,0.80965
482.0,0.64698
483.0,0.74944
484.0,0.78542
485.0,0.74985
486.0,0.60105
487.0,0.65979
488.0,0.77195
489.0,0.72141
490.0,0.81369
491.0,0.83327
492.0,0.97482
493.0,0.49513
494.0,0.47288
495.0,0.47558
496.0,0.49836
497.0,0.64049
498.0,0.74965
499.0,0.89619
500.0,0.795
501.0,0.71387
502.0,0.66068
503.0,0.72329
504.0,0.71587
505.0,0.70931
506.0,0.76502
507.0,0.71617
508.0,0.86963
509.0,0.80735
510.0,1.112
511.0,1.1386
512.0,0.86346
513.0,0.83725
514.0,0.80285
515.0,0.84344
516.0,0.88794
517.0,0.83639
518.0,0.81291
519.0,0.74448
520.0,0.95173
521.0,0.92604
522.0,0.98102
523.0,0.93634
524.0,0.90015
525.0,0.92736
526.0,0.89197
527.0,0.94406
528.0,0.91481
529.0,0.81908
530.0,0.68362
531.0,0.75739
532.0,0.94781
533.0,1.0058
534.0,0.91889
535.0,1.0354
536.0,1.0418
537.0,1.1108
538.0,1.1394
539.0,1.1078
540.0,1.0028
541.0,0.99265
542.0,1.0469
543.0,0.96128
544.0,1.1953
545.0,1.0548
546.0,0.95761
547.0,0.83239
548.0,0.99759
549.0,1.0078
550.0,0.84311
551.0,0.96621
552.0,0.87106
553.0,0.93311
554.0,0.99691
555.0,0.94607
556.0,0.89818
557.0,0.98718
558.0,0.8745
559.0,0.961
560.0,0.9417
561.0,0.91944
562.0,0.91188
563.0,0.83142
564.0,0.70662
565.0,0.7479
566.0,0.74508
567.0,0.80572
568.0,0.87667
569.0,0.96286
570.0,0.82222
571.0,0.46071
572.0,0.52561
573.0,0.77124
574.0,0.83248
575.0,0.80273
576.0,0.74247
577.0,0.65515
578.0,0.65214
579.0,0.53176
580.0,0.63487
581.0,0.68002
582.0,0.77173
583.0,0.90207
584.0,0.81341
585.0,0.802
586.0,0.79948
587.0,0.85835
588.0,0.66134
589.0,0.7
590.0,0.92945
591.0,0.83479
592.0,0.92714
593.0,0.9426
594.0,0.7786
595.0,0.7068
596.0,0.74298
597.0,0.72978
598.0,0.80834
599.0,0.71588
600.0,0.74788
601.0,0.80905
602.0,0.63121
603.0,0.6991
604.0,0.80064
605.0,0.70263
606.0,0.76869
607.0,0.62597
608.0,0.71336
609.0,0.74239
610.0,0.71259
611.0,0.82157
612.0,0.68568
613.0,0.72014
614.0,0.74294
615.0,0.71555
616.0,0.78657
617.0,0.66576
618.0,0.51731
619.0,0.59007
620.0,0.76816
621.0,0.79571
622.0,0.88193
623.0,0.90463
624.0,0.77556
625.0,0.65403
626.0,0.69867
627.0,0.72783
628.0,0.71897
629.0,0.73431
630.0,0.76451
631.0,0.60833
632.0,0.61602
633.0,0.54646
634.0,0.53975
635.0,0.54192
636.0,0.48462
637.0,0.4561
638.0,0.54065
639.0,0.61683
640.0,0.65059
641.0,0.65028
642.0,0.63715
643.0,0.50796
644.0,0.45763
645.0,0.51887
646.0,0.47398
647.0,0.68024
648.0,0.44439
649.0,0.37259
650.0,0.50945
651.0,0.52686
652.0,0.46877
653.0,0.44872
654.0,0.49085
655.0,0.471
656.0,0.43544
657.0,0.4255
658.0,0.60398
659.0,0.62607
660.0,0.41694
661.0,0.48827
662.0,0.46073
663.0,0.58018
664.0,0.48363
665.0,0.48976
666.0,0.36503
667.0,0.35097
668.0,0.43096
669.0,0.46318
670.0,0.35793
671.0,0.37009
672.0,0.36085
673.0,0.3223
674.0,0.40236
675.0,0.38856
676.0,0.36713
677.0,0.37642
678.0,0.25114
679.0,0.2785
680.0,0.27028
681.0,0.24943
682.0,0.29411
683.0,0.26
684.0,0.26965
685.0,0.2303
686.0,0.36081
687.0,0.39764
688.0,0.28255
689.0,0.30724
690.0,0.24595
691.0,0.23716
692.0,0.431
693.0,0.39421
694.0,0.25017
695.0,0.2543
696.0,0.33819
697.0,0.38916
698.0,0.19173
699.0,0.22812
700.0,0.21802
701.0,0.24611
702.0,0.30521
703.0,0.33446
704.0,0.23247
705.0,0.19384
706.0,0.28148
707.0,0.35698
708.0,0.22629
709.0,0.33847
710.0,0.3722
711.0,0.20285
712.0,0.32585
713.0,0.36814
714.0,0.24096
715.0,0.36584
716.0,0.29815
717.0,0.20718
718.0,0.16693
719.0,0.1409
720.0,0.26858
721.0,0.25977
722.0,0.16932
723.0,0.24683
724.0,0.16063
725.0,0.16632
726.0,0.19272
727.0,0.18879
728.0,0.24891
729.0,0.24554
730.0,0.19166
731.0,0.15805
732.0,0.0
