time,A1,A2,Soil
2020-02-09,4.461404666937323,4.306496484433079,3.9282044137521694
2020-02-10,4.395322373548376,4.235951072541772,3.8499183500204968
2020-02-11,4.333249832117868,4.16458311342601,3.7812903730912204
2020-02-12,4.27797543292483,4.101924067916195,3.716983633031114
2020-02-13,4.232746455121933,4.051078025220246,3.662980370406139
2020-02-14,4.188146164077656,4.003130981074145,3.6170436850534617
2020-02-15,4.142958382050839,3.9513507716468945,3.561033799784424
2020-02-16,4.099234749377436,3.9077777229768564,3.515599225367725
2020-02-17,4.070624665135451,3.869396954312699,3.4767626294195964
2020-02-18,4.018067661923808,3.817899086494698,3.4155767511066326
2020-02-19,3.977311544369392,3.773068642961877,3.36026336052415
2020-02-20,3.9345203601016836,3.7304691028573034,3.3110445044867634
2020-02-21,3.891571807145854,3.6836583970787755,3.2608183509309234
2020-02-22,3.847819471538373,3.6357247982752403,3.2072045613640663
2020-02-23,3.8088550702142343,3.596386976717936,3.159448477770326
2020-02-24,3.770302394131802,3.5573235690301535,3.113818331650277
2020-02-25,3.7237141391687394,3.507317752916613,3.053216098334016
2020-02-26,3.6773467155439175,3.4599628373219304,2.9940998147131532
2020-02-27,3.6330156790523653,3.4166637043686103,2.9344906950697567
2020-02-28,3.5909680301551434,3.3761002760054204,2.8767923443981642
2020-02-29,3.5553137603977514,3.340094242590959,2.826100774334825
2020-03-01,3.5158979807652684,3.304725205921857,2.777861245216409
2020-03-02,3.4646507670668165,3.258286268068993,2.719096672809409
2020-03-03,3.4224959061036104,3.2161214987103364,2.6671181102667054
2020-03-04,3.3804278878305807,3.1769424079940247,2.616157520506252
2020-03-05,3.350315808833058,3.1499824332379447,2.5739035072637573
2020-03-06,3.343257952131869,3.1414711251266887,2.5590331413091993
2020-03-07,3.339824603029058,3.137562785762881,2.600643127529764
2020-03-08,3.325465158077157,3.1223449499563385,2.5895053680977362
2020-03-09,3.300114755953558,3.101619133436476,2.556715596815636
2020-03-10,3.270229050356216,3.065465226120091,2.5204616785603298
2020-03-11,3.2384680106727473,3.036262984493379,2.4779153872965862
2020-03-12,3.2066629597881064,3.007232635060777,2.4335142175668745
2020-03-13,3.174161547432885,2.9769327569672956,2.3846119976665414
2020-03-14,3.168032841754391,2.9718049328924176,2.5480448807606204
2020-03-15,3.843561647752428,3.1891588491457554,4.811018712504359
2020-03-16,4.831425384459083,4.088524841435919,4.696140697077009
2020-03-17,4.894534701065981,4.388071773906147,4.702620930006542
2020-03-18,5.254517502676244,5.012582382209459,4.9297837094798735
2020-03-19,5.185507966254821,5.070813636566995,4.748563516340785
2020-03-20,5.035833833534982,4.91770796446012,4.546618024484526
2020-03-21,4.913562158867678,4.784165106677008,4.401310944069322
2020-03-22,4.804617299225336,4.665898599073834,4.278440289700786
2020-03-23,4.723315401184663,4.569980143793509,4.195803372291339
2020-03-24,5.144097539536696,4.958954514526877,4.9368887482370765
2020-03-25,5.306918301238228,5.215360831482297,4.872244330413505
2020-03-26,5.106180759626341,4.999383925461815,4.610013032716329
2020-03-27,4.977335280996133,4.857165007157832,4.466833624114404
2020-03-28,4.900302982017642,4.767594811343484,4.421082244833933
2020-03-29,4.96774540495862,4.808733642314664,4.559780492507454
2020-03-30,5.052876016200765,4.89156424372972,4.686601403166465
2020-03-31,5.013955647085625,4.859901733653158,4.609897632023104
2020-04-01,4.975035277970485,4.828239223576595,4.533193860879745
2020-04-02,4.936114908855345,4.796576713500034,4.456490089736385
2020-04-03,4.897194539740204,4.764914203423471,4.379786318593025
2020-04-04,5.372510366705006,5.255816194464199,5.078193446383441
2020-04-05,5.612781330369772,5.529493822397987,5.3440713585391055
2020-04-06,5.36257407266368,5.256654859399852,4.942061697077542
2020-04-07,5.13993122799519,5.013780330601717,4.662727041544329
