Time,vRoot
490.0,0.61734
491.0,0.55523
492.0,0.44122
493.0,0.69052
494.0,0.64595
495.0,0.74543
496.0,0.52496
497.0,0.50429
498.0,0.57075
499.0,0.56777
500.0,0.52156
501.0,0.57937
502.0,0.29361
503.0,0.55697
504.0,0.77015
505.0,0.70703
506.0,0.678
507.0,0.70802
508.0,0.77334
509.0,0.73056
510.0,0.67191
511.0,0.57586
512.0,0.5368
513.0,0.59001
514.0,0.63978
515.0,0.66105
516.0,0.59319
517.0,0.48551
518.0,0.60013
519.0,0.66006
520.0,0.63766
521.0,0.67675
522.0,0.7033
523.0,0.7032
524.0,0.67437
525.0,0.18768
526.0,0.49332
527.0,0.5942
528.0,0.47236
529.0,0.52311
530.0,0.6392
531.0,0.6866
532.0,0.71842
533.0,0.81819
534.0,0.64837
535.0,0.61447
536.0,0.35597
537.0,0.22359
538.0,0.13434
539.0,0.083928
540.0,0.050109
541.0,0.032471
542.0,0.024321
543.0,0.017043
544.0,0.012685
545.0,0.010186
546.0,0.0086313
547.0,0.007709
548.0,0.0070341
549.0,0.0065019
550.0,0.0060783
551.0,0.0057436
552.0,0.0054672
553.0,0.0052559
554.0,0.005086
555.0,0.0049709
556.0,0.0048705
557.0,0.0047775
558.0,0.004687
559.0,0.0045977
560.0,0.0045112
561.0,0.0044255
562.0,0.0043405
563.0,0.004265
564.0,0.0041895
565.0,0.0041159
566.0,0.0040501
567.0,0.0039814
568.0,0.0039205
569.0,0.0038561
570.0,0.003799
571.0,0.0037384
572.0,0.0036846
573.0,0.0036275
574.0,0.0035767
575.0,0.0035232
576.0,0.0034736
577.0,0.0034281
578.0,0.0033797
579.0,0.0033353
580.0,0.0032946
581.0,0.0032547
582.0,0.0032214
583.0,0.0031889
584.0,0.0031589
585.0,0.0031249
586.0,0.0030937
587.0,0.0030634
588.0,0.003034
589.0,0.0030079
590.0,0.0029779
591.0,0.002951
592.0,0.0029249
593.0,0.0028995
594.0,0.002877
595.0,0.0028509
596.0,0.0028344
597.0,0.002821
598.0,0.0028091
599.0,0.0027977
600.0,0.0027887
601.0,0.002775
602.0,0.0027635
603.0,0.0027517
604.0,0.0027398
605.0,0.0027277
606.0,0.0027176
607.0,0.002703
608.0,0.0026905
609.0,0.0026778
610.0,0.0026651
611.0,0.0026522
612.0,0.0026393
613.0,0.0026285
614.0,0.0026131
615.0,0.0025999
616.0,0.0025866
617.0,0.0025733
618.0,0.0025599
619.0,0.0025466
620.0,0.0025356
621.0,0.0025204
622.0,0.0025076
623.0,0.002495
624.0,0.0024826
625.0,0.0024704
626.0,0.0024583
627.0,0.0024463
628.0,0.0024366
629.0,0.0024226
630.0,0.0024109
631.0,0.0023993
632.0,0.0023877
633.0,0.0023761
634.0,0.0023647
635.0,0.0023532
636.0,0.0023418
637.0,0.0023327
638.0,0.0023192
639.0,0.0023079
640.0,0.0022967
641.0,0.0022856
642.0,0.0022745
643.0,0.0022635
644.0,0.0022526
645.0,0.0022417
646.0,0.0022309
647.0,0.0022202
648.0,0.0022117
649.0,0.0021988
650.0,0.0021883
651.0,0.0021777
652.0,0.0021673
653.0,0.0021569
654.0,0.0021465
655.0,0.0021362
656.0,0.002126
657.0,0.0021158
658.0,0.4169
659.0,0.051893
660.0,0.0056574
661.0,0.00557
662.0,0.0034639
663.0,0.0013254
664.0,0.0017489
665.0,0.0018985
666.0,0.0019612
667.0,0.0019894
668.0,0.0019998
669.0,0.0020018
670.0,0.0020003
671.0,0.0019966
672.0,0.001994
673.0,0.19461
674.0,0.10265
675.0,0.16541
676.0,0.13082
677.0,0.039003
678.0,0.2089
679.0,0.21865
680.0,0.13455
681.0,0.10072
682.0,0.12989
683.0,0.14609
684.0,0.14495
685.0,0.10273
686.0,0.040945
687.0,0.15145
688.0,0.16551
689.0,0.10307
690.0,0.054598
691.0,0.10194
692.0,0.094218
693.0,0.083252
694.0,0.11213
695.0,0.12101
696.0,0.045408
697.0,0.091828
698.0,0.10163
699.0,0.21342
700.0,0.18183
701.0,0.12932
702.0,0.085711
703.0,0.16868
704.0,0.40984
705.0,0.36482
706.0,0.26982
707.0,0.24522
708.0,0.16251
709.0,0.1741
710.0,0.11579
711.0,0.058101
712.0,0.029352
713.0,0.015108
714.0,0.0086952
715.0,0.0051272
716.0,0.010101
717.0,0.011887
718.0,0.0065039
719.0,0.1382
720.0,0.020661
721.0,0.0044507
722.0,0.0031955
723.0,0.0031005
724.0,0.00143
725.0,0.0018693
726.0,0.0020405
727.0,0.0020819
728.0,0.0020934
729.0,0.0020824
730.0,0.0020648
731.0,0.0020429
732.0,0.0
