,A1,A2,A3,A4,A5,A6,A7,A8,A9,Rivendell_WY_Rain_mm,well_10_adjust,well_07_adjust,PET_mmd
2016-12-19,0.7995669543687449,0.8380532732704251,0.6473980055701787,0.7319996055556024,0.4186910318821684,0.5657317813068063,0.3369645916059754,0.7406745948655202,0.6623382165850635,1229.2770000118762,-12.49174433104353,-6.346936516955563,0.6433489547742313
2016-12-20,0.7903773385081994,0.8441835633768637,0.6459164146058851,0.7329525922248326,0.41555011688978294,0.564023174600627,0.3387157897580634,0.7416108960254211,0.6621474883909599,1229.2770000118762,-12.926882239687302,-7.172278834279472,0.8395617658565375
2016-12-21,0.8008245913541825,0.8457242621405721,0.6445122190733794,0.7375235293516227,0.415023612205134,0.5647675684130513,0.3328310009265659,0.7424821386895751,0.6600755569735821,1229.2770000118762,-12.90729917954834,-7.422759976253511,0.7806240708822361
2016-12-22,0.8079634554615109,0.8508582748836488,0.647756606429018,0.7320507467411111,0.4308105661572647,0.567215056489146,0.3388341013588479,0.7368798824766163,0.6563382003577118,1229.2770000118762,-13.078949728690109,-7.617234237216584,0.7312912433025266
2016-12-23,0.7882992982622219,0.8514099679392686,0.6452893919007506,0.7381401488742227,0.41374494086013747,0.5674671385220056,0.3317913389068413,0.7414714230317998,0.6589930156958126,1256.812999309972,-13.09679476572156,-7.681941613876497,0.6796621086960983
2016-12-24,0.7984861618104129,0.8549356948115205,0.6521676528151211,0.742079036232919,0.41468316402153516,0.5741566027368452,0.3329802471136335,0.7442719445483559,0.6599515334968693,1272.9129996914417,-13.223621084003666,-7.759999971819912,0.5731894983285576
2016-12-25,0.8117837409323985,0.865847442586654,0.6620379717863076,0.7382901733561774,0.42034884899688096,0.5737710136279088,0.3461650111533754,0.7427060111544137,0.6567621302483897,1272.9129996914417,-13.193211444202223,-7.675074802168325,0.58343250714024
2016-12-26,0.813620812770673,0.8674924179250019,0.6696101181340137,0.7384787861435964,0.42525094181073586,0.5792416668162933,0.3616541188233875,0.7425126865559951,0.6576764102538819,1272.9129996914417,-13.017204216147832,-7.626531947381554,0.5236546369578096
2016-12-27,0.8122759036047325,0.8738631024436896,0.6744315451194518,0.742319050587763,0.4302746423973797,0.583011593058715,0.36894454937635024,0.7438285391052964,0.6595058720903726,1272.9129996914417,-12.959428867405812,-7.634647271889306,0.6376681834281144
2016-12-28,0.8198445662133782,0.8741600365111699,0.6782703574132025,0.7444387170902731,0.43372578763514036,0.5808438484161098,0.36878246612653925,0.7420484834478727,0.6597902416933087,1272.9129996914417,-13.0041391615587,-7.655440720695782,0.6364189183698864
2016-12-29,0.8173366692779247,0.8730657593518636,0.6799951672045761,0.7441084402615411,0.42596335168168,0.5862991231388013,0.36543175002592293,0.7456485783448894,0.6636006990148648,1272.9129996914417,-13.08491859552211,-7.692880578329656,0.7355923195848456
2016-12-30,0.8197922145427081,0.8740273120258149,0.6833240545488866,0.7493343990942714,0.4285204973435258,0.5812571981137654,0.36017213722645125,0.7434971938339685,0.6581793859257883,1272.9129996914417,-13.162297138173145,-7.760327002366669,0.8151801731197535
2016-12-31,0.8232615019795063,0.8756555755658011,0.6841808383601107,0.7477582438614198,0.42768905984590977,0.5873574939015975,0.36245033116164826,0.7460618257518791,0.6582909851289143,1272.9129996914417,-13.20999954345266,-7.794350280144383,0.8479653475073016
2017-01-01,0.8145715838281029,0.879887917389208,0.6822002711232116,0.7441023377245599,0.4257571898137952,0.5892630582155522,0.37155805521911545,0.74339698263104,0.6585470653021497,1272.9129996914417,-13.31306851485563,-7.924314601898938,0.6821611144713455
2017-01-02,0.7830942225225547,0.881945405784468,0.6864192914385481,0.7478799627952116,0.427602876016969,0.5880026637488704,0.3525783133788698,0.7492992969819119,0.662670796741639,1280.668999733403,-13.33758710801832,-7.943261830142404,0.4411050406276032
2017-01-03,0.786197364267436,0.8832828333010126,0.6863316987227053,0.7576054002174519,0.42964064118856504,0.5935026670365895,0.34586966226993293,0.749254150563628,0.6651648543986814,1298.5629988331348,-13.466340638349,-8.125920176479681,0.9667232148346031
2017-01-04,0.8197345725461331,0.8933482249472677,0.700064065718272,0.7500271659192205,0.4330415403734703,0.6025739998542955,0.3715455932173981,0.7511815741583288,0.6610012301186181,1341.9739981312305,-13.398256568235103,-7.921681141950525,0.8245039516299121
2017-01-05,0.8255334464554567,0.8917868598539296,0.7051782757192198,0.7508635689237682,0.43620598568971525,0.5972671800245917,0.38394566538785213,0.749524542053841,0.6628445499297485,1341.9739981312305,-13.319389896095403,-7.255936231306555,0.6985824381296135
2017-01-06,0.820945597128985,0.8922247087103689,0.7090542393652794,0.7466599590778458,0.43825553887993657,0.6014246320448742,0.39077829650689244,0.7476978079437997,0.662271956039558,1341.9739981312305,-12.95811606559766,-6.54164314777991,0.6239471951201088
2017-01-07,0.801229459616995,0.8907313644217107,0.7009075175908299,0.7581433795355863,0.4376694604939797,0.6102083416688742,0.36014491260257797,0.7600397613580708,0.6724614649934091,1378.6369963306934,-12.880730145928595,-6.711987259160858,0.9921086885343527
2017-01-08,0.8213911667947869,0.8985219380657623,0.7167288550804944,0.7591241011675229,0.4399454605828362,0.6553062863166321,0.3671754547178392,0.7636725869714548,0.6752599820437808,1428.672995628789,-12.791183908280663,-6.569747644493865,1.0095687148309511
2017-01-09,0.8120706731740477,0.8956608810531852,0.7226425964643388,0.7591830566463831,0.45022255394786737,0.6908885096509925,0.45395981307402766,0.7753193670053274,0.6940490548370681,1512.8809958118943,-11.773886437159485,-4.669807531300148,0.49891173106551356
2017-01-10,0.8169714186374047,0.8915987956027374,0.7299039904176992,0.763111475125653,0.45180710851810313,0.7155119287954033,0.4589117561447522,0.7788115948966254,0.7119629196027241,1598.2039938587695,-10.883837972749031,-3.8487584848706633,0.8326811146643761
2017-01-11,0.8235626452025164,0.8974056934841372,0.7354575829285348,0.7724846188301042,0.4960352214155636,0.6966749772705856,0.49438564049282396,0.7963348128626941,0.7373981125271186,1731.0479879993943,-10.06830190297826,-3.5485523635976333,0.7969432600481975
2017-01-12,0.8203246628020266,0.8990154591823074,0.7335062691668384,0.7643411665766973,0.4732440805256637,0.6725802384677233,0.4641183194320263,0.7828691980313156,0.7203860225305747,1744.6009884495288,-10.877465107412895,-3.563666317445316,0.7909482050225711
2017-01-13,0.8271861359968535,0.9080517623006986,0.7427531193619173,0.7694778302034111,0.47385012713828034,0.6682427629195444,0.4167594051519748,0.7743991833249854,0.7124494959960135,1744.6009884495288,-12.131097655591589,-4.33308379120604,0.8822239985854416
2017-01-14,0.8299912354889196,0.9084465686826709,0.7453437395813745,0.7725351894301571,0.4740985802282934,0.6647672799573008,0.40319868367954703,0.7731718480681727,0.7011000394616353,1744.6009884495288,-12.578682574015462,-4.932488990043687,0.959975500286585
2017-01-15,0.8259542050920354,0.9093362735021258,0.7472454472271994,0.7690371220686026,0.47227542822331514,0.6458261218616962,0.41633938415101224,0.7721380765506451,0.6961413605380933,1744.6009884495288,-13.051911878796844,-5.535189677161161,0.9467783972865119
2017-01-16,0.8303489482596671,0.9116279820373479,0.7499579284248459,0.7740174725542562,0.4745011822593165,0.6430029602938938,0.41483727120220965,0.7707624834000757,0.6914923068255834,1744.6009884495288,-13.244611017718434,-6.382049796470496,0.8876503410921289
2017-01-17,0.8216240902023778,0.9093619155177629,0.749988936250257,0.773448186241094,0.46880888715633806,0.6464154886648809,0.41934275165764895,0.7701078603349587,0.6912837850097281,1744.6009884495288,-13.37876988667803,-6.993503668120967,0.956395846145765
2017-01-18,0.8014857668100899,0.9107235814508481,0.7420815472554967,0.7780495251357489,0.46761682204573657,0.6438111856927552,0.3884632752779038,0.7720289963650795,0.6936978534551612,1758.8669882435352,-13.46540410029353,-7.217938233067563,0.7989403670719367
2017-01-19,0.8432607446101008,0.9191786462199169,0.7461657939283937,0.7802156440586995,0.47227323894384154,0.6655499790006341,0.40069752134863956,0.7779697666326666,0.6965707429866852,1860.3359900135547,-13.491112279013384,-7.0361453400247775,0.6395530299600168
